ChEBI	Count	TFIDF	Names	Mass	logP	Class
27870	2	3	biocytin	372.48300	-2.01	['38295', '38297', '47857', '29347', '83822', '25095', '27171', '38101', '38106', '33256', '37622', '15705', '83925', '53079', '83811', '33672', '38166', '24532', '35352', '33261', '32988', '36963', '33256', '33704', '83820', '83821', '33636', '5686', '24532', '33671', '33285', '33832', '51143', '36962', '26835', '25806', '32988', '33709', '35352', '33595', '33285', '5686', '33832', '33635', '50860', '72695', '33302', '33304', '51143', '50047', '33575', '25367', '50860', '33595', '72695', '33582', '33675', '33302', '35352', '36586', '35605', '64709', '36357', '33582', '25367', '50860', '33675', '33579', '33285', '51143', '36587', '36963', '24833', '23367', '33675', '36357', '33582', '33579', '50860', '33302', '72695', '36962', '25806', '24651', '24431', '33579', '23367', '33675', '33582', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '23367', '24431', '33579', '33675', '33582', '36357', '50860', '33304', '33674', '24431', '23367', '33579', '33675', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
27873	4	8	3-fluoroaniline	111.11690	1.44	['50471', '24069', '32877', '33860', '37143', '48975', '50994', '32952', '33659', '50047', '17792', '24062', '22562', '50047', '33655', '33832', '35352', '50860', '33285', '37578', '24471', '33860', '22712', '35352', '50860', '33595', '72695', '33285', '51143', '33582', '24471', '37577', '33675', '33659', '50047', '33836', '33285', '51143', '33582', '25367', '50860', '33302', '33675', '36357', '33579', '33655', '33832', '35352', '33659', '33598', '50860', '33302', '33675', '36357', '33582', '33579', '23367', '33595', '72695', '33285', '51143', '33655', '33832', '33597', '33582', '33675', '33579', '23367', '24431', '25367', '50860', '33302', '33595', '72695', '33675', '33579', '23367', '24431', '36357', '33582', '25367', '50860', '33579', '23367', '24431', '33675', '36357', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
27882	2	2	(S)-colchicine	399.43700	1.15	['23359', '22315', '38032', '22315', '35618', '22160', '35352', '35294', '51959', '35352', '25698', '33659', '37622', '33285', '51143', '33598', '35295', '51958', '33285', '51143', '36963', '33655', '33832', '35352', '33256', '50860', '33302', '33597', '33832', '33635', '50860', '33302', '36962', '25806', '33595', '72695', '33285', '51143', '32988', '33582', '33675', '33595', '72695', '33582', '33675', '33285', '33304', '25367', '50860', '33302', '51143', '33579', '25367', '50860', '33675', '33579', '36357', '33582', '33302', '23367', '36357', '33582', '33579', '23367', '33675', '24431', '23367', '33675', '24431', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
27899	9	7	cisplatin	300.04452	-1.49	['51214', '33862', '33749', '33861', '33747', '33240', '33497', '33676', '33497', '37577', '23367', '33497', '23367', '36357', '24431', '23367', '24431', '24431']
27904	2	4	D-erythrose	120.10390	-2.12	['33946', '23957', '33915', '15693', '26938', '35381', '16646', '78616', '36963', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
27907	11	13	alpha-L-rhamnopyranose	164.15648	-2.13	['62346', '62345', '26546', '33983', '23628', '23639', '33917', '16646', '15693', '18133', '78616', '35381', '36963', '16646', '36962', '25806', '78616', '33285', '33304', '36963', '50860', '33675', '36962', '25806', '33582', '33579', '33285', '33304', '33675', '23367', '50860', '33579', '24431', '33582', '23367', '33675', '24431', '33579', '23367', '24431']
27910	1	2	7-dehydrodesmosterol	382.62178	7.73	['35348', '15889', '36836', '36834', '35681', '35350', '30879', '33822', '35341', '24651', '50860', '51958', '18059', '25806', '33608', '37577', '33582', '33832', '33635', '50860', '33304', '33674', '36357', '33675', '72695', '33595', '33582', '33675', '33579', '23367', '50860', '25367', '33579', '23367', '24431', '33582', '36357', '23367', '24431', '33675', '24431', '33579', '23367', '24431']
27915	1	2	melamine	126.12018	-1.1	['38175', '26588', '38102', '38101', '25693', '50893', '24532', '35352', '33670', '38101', '33833', '33285', '5686', '33832', '51143', '33661', '24532', '35352', '33659', '50860', '33595', '72695', '33302', '33285', '5686', '33832', '51143', '33655', '33582', '25367', '50860', '33675', '33595', '72695', '33302', '33675', '36357', '33582', '33579', '25367', '50860', '33579', '23367', '33675', '36357', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
27924	2	3	phenylhydrazine	108.14120	0.923	['25996', '24631', '51143', '33302', '33675', '33579', '23367', '24431']
27956	2	3	L-dehydroascorbic acid	174.10824	-0.636	['17242', '47016', '26912', '38104', '25693', '24532', '36963', '33670', '33285', '5686', '33832', '36962', '25806', '33661', '50860', '33595', '72695', '33285', '33304', '33582', '25367', '50860', '33675', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
27957	1	2	hydroxyacetone	74.07854	-0.881	['26292', '51867', '15734', '139590', '17087', '30879', '139588', '15734', '36586', '33822', '52396', '30879', '36587', '36963', '24651', '50860', '52395', '33822', '72695', '36962', '25806', '33608', '37577', '33582', '17087', '24651', '50860', '50860', '25367', '33285', '33304', '33674', '36357', '33675', '36586', '25806', '33608', '37577', '33582', '33582', '36357', '50860', '33675', '33579', '23367', '36587', '36963', '33304', '33674', '33675', '23367', '33582', '33579', '24431', '72695', '36962', '25806', '33579', '24431', '33675', '23367', '50860', '25367', '33285', '33304', '23367', '33579', '24431', '33582', '36357', '50860', '33675', '24431', '23367', '33675', '33582', '33579', '24431', '33579', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
27961	9	12	1,8-cineole	154.24932	2.87	['23243', '25186', '37407', '25409', '25698', '38104', '26873', '36963', '24532', '24913', '36962', '25806', '33285', '5686', '33832', '18059', '50860', '33285', '33304', '33595', '72695', '50860', '33582', '33675', '25367', '33582', '33675', '33579', '36357', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
27974	1	1	estriol	288.38140	2.57	['36834', '16799', '35343', '35350', '36840', '36838', '33822', '35341', '35350', '24651', '50860', '51958', '18059', '33822', '35341', '25806', '33608', '37577', '33582', '33832', '33635', '50860', '24651', '51958', '18059', '33304', '33674', '36357', '33675', '72695', '33595', '33582', '25806', '33608', '37577', '33832', '33635', '50860', '33675', '33579', '23367', '50860', '25367', '33304', '33674', '36357', '72695', '33595', '33582', '33579', '23367', '24431', '33582', '36357', '33675', '50860', '25367', '23367', '24431', '33675', '33579', '33582', '36357', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
27997	1	2	elaidic acid	282.46140	7.46	['36021', '25634', '25413', '15904', '53339', '27208', '35366', '78840', '35366', '25384', '18059', '50860', '25384', '18059', '33575', '50860', '33582', '33575', '50860', '36586', '35605', '64709', '33582', '33675', '36586', '35605', '64709', '33582', '36587', '36963', '24833', '50860', '33675', '33579', '36587', '36963', '24833', '50860', '33675', '72695', '36962', '25806', '24651', '33582', '33579', '23367', '72695', '36962', '25806', '24651', '33582', '33579', '50860', '25367', '33285', '33304', '33608', '37577', '33675', '23367', '24431', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '33582', '36357', '33674', '33579', '24431', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '24431', '23367', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
28009	16	17	N-acetyl-beta-D-glucosamine	221.20780	-2.47	['506227', '59640', '21601', '21638', '7203', '21656', '24271', '24586', '60926', '28963', '63299', '78616', '36963', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
28026	1	2	plastoquinol-9	751.21700	7.78	['62192', '26253', '24646', '33570', '33853', '33659', '33822', '33655', '33832', '24651', '50860', '33595', '72695', '25806', '33608', '37577', '33582', '25367', '50860', '33304', '33674', '36357', '33675', '36357', '33582', '33675', '33579', '23367', '23367', '33675', '33579', '24431', '24431', '33579', '23367', '23367', '24431', '24431']
28077	1	1	rifampicin	822.94020	1.87	['46847', '46920', '38532', '59779', '72588', '26580', '26144', '46845', '50996', '35352', '59777', '38104', '50860', '22565', '39270', '38101', '25693', '26144', '50996', '50047', '33285', '51143', '59769', '24532', '36963', '33582', '26188', '51026', '24995', '26979', '38104', '24532', '35352', '33670', '38101', '25693', '50047', '50860', '33302', '36963', '33285', '5686', '33832', '36962', '25806', '33675', '33595', '23443', '37622', '36688', '38166', '51959', '33285', '5686', '33832', '51143', '33661', '24532', '35352', '33670', '50860', '33582', '33675', '36962', '25806', '33595', '72695', '33304', '33579', '25367', '32988', '36963', '33256', '33671', '51958', '50860', '33595', '72695', '33302', '33285', '5686', '33832', '51143', '33661', '33582', '33675', '33579', '33304', '25367', '23367', '36357', '36962', '25806', '32988', '33635', '33582', '25367', '50860', '33675', '33595', '72695', '33302', '33579', '23367', '36357', '24431', '33285', '33304', '51143', '33675', '36357', '33582', '33579', '25367', '50860', '23367', '24431', '33302', '33579', '23367', '33675', '36357', '33582', '24431', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
28078	2	3	4-chlorophenol	128.55600	2.5	['38857', '23150', '83403', '38856', '23132', '33853', '17792', '22712', '36683', '33659', '33822', '33285', '37578', '33836', '17792', '23117', '33655', '33832', '24651', '50860', '24471', '37577', '33659', '33598', '33285', '37578', '33595', '72695', '25806', '33608', '37577', '33582', '33675', '36357', '33655', '33832', '33597', '50860', '24471', '25367', '50860', '33304', '33674', '36357', '33675', '33579', '23367', '33595', '72695', '33582', '36357', '33582', '33675', '33579', '23367', '24431', '25367', '50860', '23367', '33675', '33579', '24431', '36357', '33582', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
28085	1	2	beta-mannobiose	342.29648	-2.28	['25164', '35318', '36233', '50699', '16646', '78616', '36963', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
28093	1	1	borneol	154.24932	2.88	['22912', '25409', '26873', '24913', '18059', '50860', '50860', '33582', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
28106	2	4	isobavachalcone	324.37040	3.57	['26195', '23086', '33853', '72544', '51689', '76224', '33659', '33822', '50860', '25806', '51721', '78840', '17087', '33655', '33832', '24651', '50860', '33582', '33304', '17087', '36586', '33595', '72695', '25806', '33608', '37577', '33582', '33675', '36586', '36587', '36963', '25367', '50860', '33304', '33674', '36357', '33675', '33579', '36587', '36963', '72695', '36962', '25806', '36357', '33582', '33675', '33579', '23367', '72695', '36962', '25806', '50860', '25367', '33285', '33304', '23367', '33675', '33579', '24431', '50860', '25367', '33285', '33304', '33582', '36357', '24431', '33579', '23367', '33582', '36357', '50860', '33675', '23367', '24431', '33675', '33582', '33579', '24431', '33579', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
28113	1	2	24,25-dihydrolanosterol	428.73328	8.87	['35348', '26893', '15889', '36836', '36615', '51958', '36834', '35681', '26873', '33832', '33635', '35350', '30879', '24913', '72695', '33595', '33822', '35341', '18059', '50860', '25367', '24651', '50860', '51958', '18059', '33582', '36357', '25806', '33608', '37577', '33582', '33832', '33635', '50860', '33675', '23367', '33304', '33674', '36357', '33675', '72695', '33595', '33582', '33579', '24431', '33675', '33579', '23367', '50860', '25367', '33579', '23367', '24431', '33582', '36357', '23367', '24431', '33675', '24431', '33579', '23367', '24431']
28121	1	1	harmine	212.24720	3.17	['61379', '22315', '60834', '35352', '48888', '33285', '51143', '38101', '26979', '50860', '33302', '24532', '35352', '36688', '38166', '51959', '33582', '33675', '33285', '5686', '33832', '51143', '33671', '24532', '51958', '33675', '33579', '50860', '33595', '72695', '33302', '5686', '33635', '33285', '33832', '33579', '23367', '33582', '25367', '50860', '33675', '33595', '72695', '23367', '24431', '33675', '36357', '33582', '33579', '25367', '50860', '24431', '33579', '23367', '33675', '36357', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
28142	1	1	chloral hydrate	165.40300	0.997	['36683', '63733', '23976', '17792', '23117', '63732', '23824', '33285', '37578', '24471', '30879', '26191', '50860', '24471', '37577', '33675', '33822', '33582', '33675', '36357', '33579', '24651', '50860', '33675', '33579', '23367', '25806', '33608', '37577', '33582', '33579', '23367', '24431', '33304', '33674', '36357', '33675', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
28145	1	1	dibenzofuran	168.19132	4.07	['38922', '38180', '36416', '26979', '38104', '33833', '35571', '36688', '38166', '51959', '24532', '36963', '33659', '35573', '35552', '33671', '24532', '51958', '33285', '5686', '33832', '36962', '25806', '33655', '35568', '33245', '5686', '33635', '33285', '33832', '50860', '33595', '72695', '33304', '23367', '37175', '33595', '50860', '72695', '33582', '25367', '33675', '24431', '33692', '25367', '33582', '50860', '33675', '36357', '33579', '33608', '37577', '36357', '33675', '33582', '33579', '23367', '33674', '23367', '33579', '33675', '24431', '24431', '23367', '33579', '24431', '23367', '24431']
28148	1	1	sodium stibogluconate	907.88000	-1.68	['20984', '33804', '33760', '22299', '33721', '35757', '29067', '25696', '35406', '25699', '22563', '25741', '33273', '50860', '24870', '25806', '37577', '22563', '36358', '33582', '23367', '33304', '36357', '24870', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
28177	8	9	theophylline	180.16418	-0.0165	['23818', '25348', '26385', '26401', '22315', '35875', '35352', '27171', '38101', '33833', '33285', '51143', '33672', '38166', '24532', '35352', '33659', '50860', '33302', '33636', '5686', '24532', '33671', '33285', '33832', '51143', '33655', '33582', '33675', '33595', '33285', '5686', '33832', '33635', '50860', '72695', '33302', '33675', '33579', '25367', '50860', '33595', '72695', '33582', '33675', '33579', '23367', '36357', '33582', '25367', '50860', '33675', '33579', '23367', '24431', '23367', '33675', '36357', '33582', '33579', '24431', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
28179	1	1	benzamide	121.13662	0.687	['22702', '22645', '29347', '62733', '37622', '32988', '33659', '36963', '35352', '33256', '51143', '33655', '33832', '36962', '25806', '33285', '51143', '32988', '33302', '33595', '72695', '33285', '33304', '50860', '33302', '51143', '33675', '25367', '50860', '33675', '33582', '33302', '33579', '36357', '33582', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
28184	4	7	7-ethoxycoumarin	190.196	2.38	['35618', '23403', '25698', '33659', '38445', '26004', '36963', '33655', '33832', '23232', '33659', '36962', '25806', '33595', '72695', '38443', '33655', '33832', '33285', '33304', '25367', '50860', '22727', '33595', '72695', '50860', '33675', '36357', '33582', '38104', '38166', '25367', '33582', '33579', '23367', '33675', '24532', '36963', '33671', '36357', '33675', '23367', '24431', '33579', '33285', '5686', '33832', '36962', '25806', '33635', '33579', '24431', '23367', '50860', '33595', '72695', '33285', '33304', '23367', '24431', '33582', '25367', '50860', '33675', '24431', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
28189	3	5	isomaltose	342.29650	-2.14	['24405', '36233', '50699', '16646', '78616', '36963', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
28195	2	3	3alpha-hydroxy-5beta-androstan-17-one	290.44030	3.66	['36835', '19168', '50402', '36834', '35681', '35789', '3992', '35341', '35350', '30879', '17087', '35341', '51958', '18059', '33822', '35341', '36586', '51958', '18059', '33832', '33635', '50860', '24651', '50860', '51958', '18059', '36587', '36963', '33832', '33635', '72695', '33595', '33582', '25806', '33608', '37577', '33582', '33832', '33635', '50860', '72695', '36962', '33595', '25367', '33675', '33304', '33674', '36357', '33675', '72695', '33595', '33582', '50860', '25367', '33285', '33579', '33675', '33579', '23367', '50860', '25367', '33582', '36357', '33579', '23367', '24431', '33582', '36357', '33675', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
28201	1	1	rotenone	394.41720	4.1	['38164', '72581', '38166', '71543', '3992', '24532', '33671', '72544', '72579', '17087', '33285', '5686', '33832', '33635', '50860', '25806', '133135', '36586', '50860', '33595', '72695', '33582', '33304', '38166', '36587', '36963', '33582', '25367', '50860', '33675', '24532', '33671', '72695', '36962', '25806', '33675', '36357', '33582', '33579', '33285', '5686', '33832', '33635', '50860', '25367', '33304', '33579', '23367', '33675', '50860', '33595', '72695', '33582', '36357', '23367', '24431', '33579', '33582', '25367', '50860', '33675', '24431', '23367', '33675', '36357', '33582', '33579', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
28229	1	2	N(omega)-methyl-L-arginine	188.231	-4.14	['24436', '83822', '83965', '35352', '15705', '83925', '22617', '83811', '33285', '51143', '33704', '83820', '83821', '50860', '33302', '33709', '35352', '33582', '33675', '50047', '33575', '33285', '51143', '33675', '33579', '35352', '50860', '36586', '35605', '64709', '33302', '33579', '23367', '33285', '51143', '33582', '36587', '36963', '24833', '50860', '33675', '23367', '24431', '50860', '33302', '33675', '72695', '36962', '25806', '24651', '33582', '33579', '24431', '33582', '33675', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '23367', '33675', '33579', '23367', '33582', '36357', '50860', '33304', '33674', '24431', '33579', '23367', '24431', '33675', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
28230	4	6	hesperetin	302.27880	2.35	['38738', '38739', '48024', '140332', '25240', '24697', '28863', '35618', '33822', '38672', '3992', '25698', '33659', '24651', '50860', '47916', '38443', '26004', '17087', '36963', '33655', '33832', '25806', '33608', '37577', '33582', '72544', '22727', '33659', '36586', '36962', '25806', '33595', '72695', '33304', '33674', '36357', '33675', '50860', '25806', '38104', '38166', '33655', '33832', '36587', '36963', '33285', '33304', '25367', '33675', '33579', '23367', '33582', '33304', '24532', '36963', '33671', '33595', '72695', '36962', '25806', '50860', '33675', '36357', '33579', '23367', '24431', '33675', '33285', '5686', '33832', '36962', '25806', '33635', '25367', '50860', '33304', '33582', '33579', '23367', '24431', '33579', '50860', '33595', '72695', '33285', '33304', '36357', '33582', '33675', '23367', '24431', '23367', '33582', '25367', '50860', '33675', '33579', '24431', '24431', '33675', '36357', '33582', '33579', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
28241	1	1	papaverine	339.38500	3.18	['22750', '24922', '51681', '24921', '38101', '38166', '51683', '22315', '24532', '35352', '33671', '35618', '22712', '35352', '33285', '5686', '33832', '51143', '33635', '25698', '33659', '33836', '33285', '51143', '50860', '33595', '72695', '33302', '36963', '33655', '33832', '33659', '33598', '50860', '33302', '33582', '25367', '33675', '36962', '25806', '33595', '72695', '33655', '33832', '33597', '33582', '33675', '36357', '33579', '33285', '33304', '25367', '50860', '33595', '72695', '33675', '33579', '23367', '50860', '36357', '33582', '25367', '33579', '23367', '24431', '33582', '33675', '36357', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
28262	21	15	dimethyl sulfoxide	78.13444	-0.918	['22063', '134179', '33261', '72695', '36962', '26835', '50860', '25367', '33285', '33304', '33582', '36357', '50860', '33675', '23367', '33582', '33579', '24431', '33675', '23367', '33579', '24431', '23367', '24431']
28277	11	17	brassinolide	480.67712	3.12	['36858', '36835', '36863', '36866', '22921', '36857', '36834', '35681', '35350', '26124', '35350', '30879', '33822', '35341', '33822', '35341', '24651', '50860', '51958', '18059', '24651', '50860', '51958', '18059', '25806', '33608', '37577', '33582', '33832', '33635', '25806', '33608', '37577', '33582', '33832', '33635', '50860', '33304', '33674', '36357', '33675', '72695', '33595', '33304', '33674', '36357', '33675', '72695', '33595', '33582', '33579', '23367', '50860', '25367', '33675', '33579', '23367', '50860', '25367', '24431', '33582', '36357', '33579', '23367', '24431', '33582', '36357', '33675', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
28324	4	6	11-deoxycortisol	346.46050	2.76	['24261', '139590', '139592', '23618', '36699', '139588', '15734', '26878', '36885', '47909', '26764', '50858', '52396', '30879', '35789', '51689', '47788', '35341', '52395', '33822', '17087', '51721', '78840', '3992', '35789', '51958', '18059', '17087', '24651', '50860', '36586', '35341', '33832', '33635', '50860', '36586', '25806', '33608', '37577', '33582', '36587', '36963', '51958', '18059', '72695', '33595', '33582', '36587', '36963', '33304', '33674', '36357', '33675', '36962', '25806', '33832', '33635', '50860', '50860', '25367', '33675', '72695', '36962', '25806', '33579', '23367', '33285', '33304', '33595', '33582', '33582', '36357', '33579', '50860', '25367', '33285', '33304', '23367', '24431', '33675', '33675', '23367', '33582', '36357', '50860', '24431', '33579', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
28346	1	2	mescaline	211.25760	0.748	['38605', '51683', '50994', '22315', '35618', '22712', '50047', '35352', '25698', '33659', '33836', '50860', '33285', '51143', '36963', '33655', '33832', '33659', '33598', '33582', '50860', '33302', '36962', '25806', '33595', '72695', '33655', '33832', '33597', '33675', '33582', '33675', '33285', '33304', '25367', '50860', '33595', '72695', '33579', '33675', '33579', '50860', '36357', '33582', '25367', '23367', '33579', '23367', '33582', '33675', '36357', '24431', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
28374	3	6	solanidine	397.63646	5.12	['38516', '22315', '51914', '1722', '35506', '35352', '38166', '36836', '35507', '33285', '51143', '24532', '33671', '36834', '35681', '33245', '50860', '33302', '33285', '5686', '33832', '33635', '35350', '30879', '50860', '37175', '33582', '33675', '33595', '72695', '33822', '35341', '33582', '33692', '33675', '33579', '25367', '50860', '24651', '51958', '18059', '33675', '33608', '37577', '33579', '23367', '36357', '33582', '25806', '33832', '33635', '50860', '33579', '33674', '36357', '23367', '24431', '33675', '33304', '72695', '33595', '33582', '23367', '33579', '24431', '33675', '50860', '25367', '24431', '23367', '33579', '33582', '36357', '24431', '23367', '33675', '24431', '33579', '23367', '24431']
28398	9	12	butan-2-one	72.10572	0.375	['18044', '51867', '134179', '22951', '17087', '72695', '36586', '50860', '25367', '36587', '36963', '33582', '36357', '72695', '36962', '25806', '33675', '23367', '50860', '25367', '33285', '33304', '33579', '24431', '33582', '36357', '50860', '33675', '23367', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
28412	4	6	eriodictyol	288.25220	1.98	['38742', '48024', '24697', '28863', '33822', '38672', '3992', '24651', '50860', '47916', '38443', '26004', '17087', '25806', '33608', '37577', '33582', '72544', '22727', '33659', '36586', '33304', '33674', '36357', '33675', '50860', '25806', '38104', '38166', '33655', '33832', '36587', '36963', '33675', '33579', '23367', '33582', '33304', '24532', '36963', '33671', '33595', '72695', '36962', '25806', '33579', '23367', '24431', '33675', '33285', '5686', '33832', '36962', '25806', '33635', '25367', '50860', '33304', '23367', '24431', '33579', '50860', '33595', '72695', '33285', '33304', '36357', '33582', '33675', '24431', '23367', '33582', '25367', '50860', '33675', '33579', '24431', '33675', '36357', '33582', '33579', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
28415	1	2	hexacosan-1-ol	382.70640	9.83	['78143', '138741', '24026', '142622', '30879', '18059', '15734', '24026', '33822', '50860', '30879', '18059', '24651', '50860', '33582', '33822', '25806', '33608', '37577', '33582', '33675', '24651', '50860', '33304', '33674', '36357', '33675', '33579', '25806', '33608', '37577', '33582', '33675', '33579', '23367', '33304', '33674', '36357', '33579', '23367', '24431', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
28445	3	3	vincristine	824.95780	2.79	['25248', '47622', '26878', '24079', '38164', '38163', '50996', '27288', '33308', '30879', '37622', '38166', '50047', '65323', '36586', '35701', '33822', '36963', '35352', '33256', '24532', '33671', '50860', '65321', '36587', '36963', '24651', '50860', '36962', '25806', '33285', '51143', '32988', '5686', '33832', '33635', '33582', '38958', '72695', '36962', '25806', '33608', '37577', '33582', '33285', '33304', '50860', '33302', '51143', '33595', '33675', '22315', '50860', '25367', '33285', '33304', '33674', '36357', '33675', '33582', '33302', '33579', '35352', '33582', '36357', '50860', '33675', '33579', '23367', '33285', '51143', '33675', '23367', '33582', '33579', '24431', '50860', '33302', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
28453	1	2	(20S)-20-hydroxypregn-4-en-3-one	316.47758	3.82	['36728', '61313', '47909', '36854', '35341', '51689', '47788', '35350', '51958', '18059', '51721', '78840', '3992', '35789', '33822', '35341', '33832', '33635', '50860', '17087', '35341', '24651', '51958', '18059', '72695', '33595', '33582', '36586', '51958', '18059', '25806', '33608', '37577', '33832', '33635', '50860', '50860', '25367', '33675', '36587', '36963', '33832', '33635', '33304', '33674', '36357', '72695', '33595', '33582', '33582', '36357', '33579', '72695', '36962', '25806', '33595', '33675', '23367', '50860', '25367', '33675', '23367', '50860', '25367', '33285', '33304', '33579', '24431', '33582', '36357', '33579', '24431', '33582', '36357', '50860', '33675', '23367', '23367', '33675', '33582', '33579', '24431', '24431', '33579', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
28457	1	2	2,6-dichlorophenol	163.00076	2.99	['23702', '23150', '23697', '38856', '23132', '33853', '17792', '22712', '36683', '33659', '33822', '33285', '37578', '33836', '17792', '23117', '33655', '33832', '24651', '50860', '24471', '37577', '33659', '33598', '33285', '37578', '33595', '72695', '25806', '33608', '37577', '33582', '33675', '36357', '33655', '33832', '33597', '50860', '24471', '25367', '50860', '33304', '33674', '36357', '33675', '33579', '23367', '33595', '72695', '33582', '36357', '33582', '33675', '33579', '23367', '24431', '25367', '50860', '23367', '33675', '33579', '24431', '36357', '33582', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
28484	2	3	isovaleric acid	102.13170	1.13	['26666', '38653', '39417', '35366', '26666', '39417', '62499', '26607', '35819', '25384', '18059', '35366', '26607', '35819', '33575', '50860', '25384', '18059', '35366', '36586', '35605', '64709', '33582', '33575', '50860', '25384', '18059', '36587', '36963', '24833', '50860', '33675', '36586', '35605', '64709', '33582', '33575', '72695', '36962', '25806', '24651', '33582', '33579', '36587', '36963', '24833', '50860', '33675', '36586', '35605', '64709', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '72695', '36962', '24651', '33582', '33579', '36587', '36963', '24833', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '24431', '25367', '33285', '25806', '33608', '37577', '23367', '72695', '36962', '24651', '33675', '23367', '33582', '33579', '36357', '50860', '33304', '33674', '24431', '25367', '33285', '25806', '33608', '37577', '33579', '24431', '33675', '23367', '33582', '36357', '50860', '33304', '33674', '23367', '33579', '24431', '33675', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
28487	9	12	reserpine	608.67870	3.63	['38481', '25248', '27358', '33308', '22315', '65323', '36586', '35701', '35352', '65321', '36587', '36963', '33285', '51143', '38958', '72695', '36962', '25806', '50860', '33302', '22315', '50860', '25367', '33285', '33304', '33582', '33675', '35352', '33582', '36357', '50860', '33675', '33579', '33285', '51143', '33675', '23367', '33582', '33579', '50860', '33302', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
28499	1	2	kaempferol	286.23630	2.03	['28802', '52267', '38684', '24698', '28802', '24043', '33822', '24698', '47916', '24651', '50860', '24043', '33822', '72544', '25806', '33608', '37577', '33582', '47916', '24651', '50860', '50860', '25806', '33304', '33674', '36357', '33675', '72544', '33608', '37577', '33582', '33582', '33304', '33675', '33579', '23367', '50860', '25806', '33674', '36357', '33675', '33579', '23367', '24431', '33582', '33304', '33579', '23367', '24431', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
