ChEBI	Count	TFIDF	Names	Mass	logP	Class
37080	7	8	acrylate	71.05472	0.268	['35757', '29067', '25696', '35406', '25699', '22563', '25741', '33273', '50860', '24870', '25806', '37577', '22563', '36358', '33582', '23367', '33304', '36357', '24870', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
37081	1	2	3-aminobutanoic acid	103.121	-2.65	['33706', '25384', '83820', '33575', '33709', '36586', '35605', '64709', '50047', '33575', '36587', '36963', '24833', '50860', '35352', '50860', '36586', '35605', '64709', '72695', '36962', '25806', '24651', '33582', '33285', '51143', '33582', '36587', '36963', '24833', '50860', '25367', '33304', '25806', '33608', '37577', '33675', '50860', '33302', '33675', '72695', '36962', '25806', '24651', '33582', '36357', '33304', '33674', '33579', '33582', '33675', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '23367', '33675', '33579', '23367', '33582', '36357', '50860', '33304', '33674', '24431', '33579', '23367', '24431', '33675', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
37084	4	8	3-hydroxyisovaleric acid	118.13110	-0.339	['35969', '35868', '61355', '25384', '24669', '33575', '33822', '36586', '35605', '64709', '24651', '50860', '36587', '36963', '24833', '50860', '25806', '33608', '37577', '33582', '72695', '36962', '25806', '24651', '33582', '33304', '33674', '36357', '33675', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33579', '23367', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '24431', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
37098	2	4	3-hydroxyoctanoic acid	160.21080	1.44	['35969', '59845', '59554', '35868', '61355', '24654', '35969', '35366', '25384', '24669', '35868', '35366', '61355', '18059', '33575', '33822', '25384', '24669', '18059', '50860', '36586', '35605', '64709', '24651', '50860', '33575', '33822', '33582', '36587', '36963', '24833', '50860', '25806', '33608', '37577', '33582', '36586', '35605', '64709', '24651', '33675', '72695', '36962', '25806', '24651', '33582', '33304', '33674', '36357', '33675', '36587', '36963', '24833', '50860', '33608', '37577', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33579', '23367', '72695', '36962', '24651', '33582', '33674', '36357', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '24431', '25367', '33285', '25806', '33608', '37577', '33675', '23367', '33582', '33579', '24431', '36357', '50860', '33304', '33674', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
37127	2	4	3-methylbut-2-enoic acid	100.11582	0.692	['25413', '26666', '62499', '79020', '27208', '35366', '35819', '25384', '35366', '25384', '18059', '33575', '25384', '18059', '33575', '50860', '36586', '35605', '64709', '33575', '50860', '36586', '35605', '64709', '33582', '36587', '36963', '24833', '36586', '35605', '64709', '33582', '36587', '36963', '24833', '50860', '33675', '72695', '36962', '25806', '24651', '36587', '36963', '24833', '50860', '33675', '72695', '36962', '25806', '24651', '33582', '33579', '25367', '33285', '33304', '33608', '37577', '72695', '36962', '25806', '24651', '33582', '33579', '50860', '25367', '33285', '33304', '33608', '37577', '33675', '23367', '36357', '33674', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '33582', '36357', '33674', '33579', '24431', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '24431', '23367', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
37136	8	8	barium(2+)	137.32700	-3.3	['39125', '60240', '30412', '33513', '39126', '25213', '64641', '23906', '25213', '33299', '37134', '23906', '36915', '24867', '36916', '23906', '36915', '33674', '37133', '24867', '36916', '36914', '24870', '33238', '24867', '36916', '36914', '33579', '33299', '24870', '33238', '24835', '23367', '33259', '24870', '33238', '24835', '23367', '33674', '33259', '24431', '23367', '33259', '24431', '33579', '24431', '23367', '24431']
37173	8	11	silanol	48.11666	0.217	['37171', '46890', '26677', '33582', '33675', '33579', '23367', '24431']
37187	1	2	lead nitrate	331.20000	1.68	['37185', '51084', '36562', '33585', '51082', '24835', '33240', '33579', '33582', '24866', '23367', '37577', '23367', '33675', '24431', '36357', '24431', '33579', '23367', '24431']
37199	1	2	dichloro(triphenyl)bismuthorane	511.19748	4.12	['37200', '37196', '33302', '33675', '33579', '23367', '24431']
37248	2	4	3-hydroxypalmitic acid	272.42350	5.95	['15904', '59845', '72726', '35366', '24654', '35969', '15904', '59202', '25384', '18059', '35868', '35366', '61355', '33575', '50860', '25384', '24669', '18059', '36586', '35605', '64709', '33582', '33575', '33822', '50860', '36587', '36963', '24833', '50860', '33675', '36586', '35605', '64709', '24651', '33582', '72695', '36962', '25806', '24651', '33582', '33579', '36587', '36963', '24833', '50860', '33608', '37577', '33675', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '72695', '36962', '24651', '33582', '33674', '36357', '33579', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '24431', '25367', '33285', '25806', '33608', '37577', '23367', '33675', '23367', '33582', '33579', '36357', '50860', '33304', '33674', '24431', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
37257	2	5	phytanate	311.52246	7.62	['58956', '57560', '83972', '58955', '58953', '28868', '67013', '28868', '18059', '35757', '58955', '18059', '35757', '50860', '29067', '28868', '50860', '29067', '33582', '25696', '35406', '18059', '35757', '33582', '25696', '35406', '33675', '25699', '22563', '25741', '33273', '50860', '29067', '33675', '25699', '22563', '25741', '33273', '33579', '50860', '24870', '25806', '37577', '36358', '33582', '25696', '35406', '33579', '50860', '24870', '25806', '37577', '22563', '36358', '23367', '33582', '33304', '36357', '33675', '25699', '25741', '33273', '23367', '33582', '33304', '36357', '24870', '24431', '33675', '33579', '50860', '25806', '37577', '22563', '36358', '24431', '33675', '23367', '33579', '33582', '33304', '36357', '24870', '33579', '24431', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
37270	1	2	3-oxotetradecanoic acid	242.35444	4.61	['15904', '134416', '35366', '59644', '47881', '25384', '18059', '25754', '35366', '35871', '33575', '50860', '25384', '18059', '25754', '36586', '35605', '64709', '33582', '33575', '50860', '36587', '36963', '24833', '50860', '33675', '36586', '35605', '64709', '33582', '72695', '36962', '25806', '24651', '33582', '33579', '36587', '36963', '24833', '50860', '33675', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '72695', '36962', '24651', '33582', '33579', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '24431', '25367', '33285', '25806', '33608', '37577', '23367', '33675', '23367', '33582', '33579', '36357', '50860', '33304', '33674', '24431', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
37405	1	2	1,4,7-triazonane	129.20352	-1.49	['36389', '37411', '37949', '36388', '25693', '37409', '38101', '35552', '24532', '33670', '35352', '33245', '33285', '5686', '33832', '33661', '51143', '50860', '37175', '33595', '72695', '33302', '33582', '33692', '25367', '50860', '33675', '33675', '33608', '37577', '36357', '33582', '33579', '33579', '33674', '36357', '23367', '33675', '23367', '33579', '24431', '24431', '23367', '24431']
37419	1	2	12-hydroxyjasmonic acid 12-O-beta-D-glucoside	386.43670	0.791	['22798', '35436', '60980', '24278', '35313', '24400', '63161', '63299', '78616', '36963', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
37450	1	3	2-methoxyestrone 3-O-(beta-D-glucuronide)	476.517	1.88	['19168', '15341', '35618', '26763', '35789', '3992', '24302', '25698', '33659', '35341', '17087', '35341', '35314', '63436', '36963', '33655', '33832', '51958', '18059', '36586', '51958', '18059', '24400', '63299', '36962', '25806', '33595', '72695', '33832', '33635', '50860', '36587', '36963', '33832', '33635', '50860', '63161', '78616', '33285', '33304', '25367', '72695', '33595', '33582', '72695', '36962', '25806', '33595', '33582', '63299', '36963', '50860', '33675', '36357', '25367', '50860', '25367', '33285', '33304', '33675', '78616', '36962', '25806', '33582', '33579', '23367', '36357', '33582', '36357', '50860', '33675', '33579', '36963', '33285', '33304', '23367', '24431', '33675', '23367', '33582', '33579', '36962', '25806', '50860', '24431', '33579', '24431', '33675', '23367', '33285', '33304', '33582', '23367', '33579', '24431', '50860', '33675', '24431', '23367', '33582', '33579', '24431', '33675', '23367', '33579', '24431', '23367', '24431']
37463	2	3	ADP-D-ribose 2'-phosphate	639.29584	-3.67	['17193', '35239', '64711', '25609', '35241', '63367', '47784', '63299', '61120', '78616', '51143', '33833', '36963', '33302', '33659', '24532', '36962', '25806', '33675', '33655', '33832', '33285', '5686', '33304', '33579', '33595', '72695', '50860', '33675', '23367', '25367', '50860', '33582', '33579', '24431', '36357', '33582', '33675', '23367', '23367', '33675', '33579', '24431', '24431', '33579', '23367', '23367', '24431', '24431']
37525	2	3	O-phospho-L-threonine	199.09910	-3.47	['84189', '83822', '21968', '83811', '26987', '15705', '83925', '26051', '37734', '25703', '83821', '33704', '83820', '26079', '35701', '26020', '25710', '35352', '33709', '36359', '36963', '26079', '26082', '33285', '33285', '51143', '50047', '33575', '33241', '36360', '36962', '25806', '36359', '33302', '50860', '50860', '33302', '35352', '36586', '35605', '64709', '37577', '26082', '33285', '33304', '33241', '36360', '33675', '33582', '33582', '33675', '33285', '51143', '36587', '36963', '24833', '50860', '36357', '33302', '37577', '26082', '33579', '33675', '33579', '50860', '33302', '72695', '36962', '25806', '24651', '33582', '23367', '36357', '33579', '23367', '33582', '33675', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '24431', '23367', '24431', '33675', '33579', '33582', '36357', '50860', '33304', '33674', '24431', '33579', '23367', '33675', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
37537	3	3	phorbol 13-acetate 12-myristate	616.826	6.0	['47622', '87691', '51307', '139592', '37532', '33308', '35748', '35701', '139588', '26878', '23849', '52557', '36586', '35701', '33308', '18059', '36963', '52396', '30879', '26873', '23849', '36587', '36963', '36586', '35701', '50860', '36962', '25806', '52395', '33822', '24913', '26873', '72695', '36962', '25806', '36587', '36963', '33582', '33285', '33304', '17087', '24651', '50860', '18059', '24913', '50860', '25367', '33285', '33304', '72695', '36962', '25806', '33675', '36586', '33608', '37577', '33582', '18059', '33582', '36357', '50860', '33675', '25367', '33285', '33304', '33579', '36587', '36963', '33674', '33675', '23367', '33582', '33579', '36357', '50860', '72695', '36962', '25806', '33579', '24431', '33675', '23367', '33582', '50860', '25367', '33285', '33304', '23367', '33579', '24431', '33675', '33582', '36357', '50860', '24431', '23367', '33579', '33675', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
37548	1	2	phenyl phosphate	174.09110	-0.0666	['36943', '25703', '37734', '26020', '26079', '25710', '35701', '26079', '36359', '26082', '33285', '36963', '36359', '33241', '36360', '33302', '50860', '36962', '25806', '33241', '36360', '37577', '26082', '33675', '33582', '33285', '33304', '37577', '26082', '36357', '33302', '33579', '33675', '50860', '36357', '33302', '23367', '33675', '33579', '33582', '23367', '33675', '24431', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
37550	68	82	sphingosine 1-phosphate	379.47180	3.72	['77068', '35786', '26739', '16247', '18059', '36963', '35352', '25703', '37734', '50860', '36962', '25806', '33285', '51143', '26020', '26079', '25710', '35701', '33582', '33285', '33304', '50860', '33302', '26079', '36359', '26082', '36963', '33675', '50860', '33582', '36359', '33241', '36360', '33302', '36962', '25806', '33579', '33582', '33675', '33241', '36360', '37577', '26082', '33285', '33304', '23367', '33675', '33579', '37577', '26082', '36357', '33302', '50860', '24431', '33579', '23367', '36357', '33302', '33675', '33582', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
37585	4	6	sodium dihydrogenphosphate	119.97701	-1.42	['37586', '24838', '26714', '26020', '24835', '26712', '35479', '26079', '23367', '33296', '24866', '36359', '24431', '33674', '37577', '33241', '36360', '33579', '36357', '37577', '26082', '23367', '36357', '33302', '24431', '23367', '33675', '24431', '33579', '23367', '24431']
37601	1	1	allene	40.06386	1.62	['37602', '78840', '50860', '33582', '33675', '33579', '23367', '24431']
37659	8	11	oleanolic acid	456.70030	8.4	['25872', '35868', '36615', '51958', '25384', '24669', '26873', '33832', '33635', '33575', '33822', '24913', '72695', '33595', '36586', '35605', '64709', '24651', '50860', '18059', '50860', '25367', '36587', '36963', '24833', '25806', '33608', '37577', '33582', '50860', '33582', '36357', '72695', '36962', '25806', '24651', '33304', '33674', '33675', '33582', '33675', '23367', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33579', '33675', '33579', '24431', '33582', '36357', '50860', '33304', '33674', '23367', '33579', '23367', '33675', '33582', '24431', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
37825	2	3	p-toluidine	107.15310	1.52	['22531', '27024', '48975', '22712', '22562', '33836', '33860', '22712', '33659', '33598', '50047', '33836', '33655', '33832', '33597', '35352', '50860', '33659', '33598', '33595', '72695', '33285', '51143', '33582', '33655', '33832', '33597', '25367', '50860', '33302', '33675', '33595', '72695', '36357', '33582', '33675', '33579', '25367', '50860', '23367', '33675', '33579', '36357', '33582', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
37830	2	3	pentane	72.14878	3.44	['134179', '18310', '72695', '24632', '33653', '50860', '25367', '33245', '33582', '36357', '50860', '37175', '33675', '23367', '33582', '33692', '33579', '24431', '33675', '33608', '37577', '23367', '33579', '33674', '36357', '24431', '23367', '33579', '24431', '23367', '24431']
37924	2	3	atazanavir	704.85550	3.77	['35363', '35362', '35352', '51143', '33285', '33302', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
37941	3	3	clopidogrel	321.82200	3.86	['37942', '83403', '25248', '27171', '38101', '38106', '23132', '33308', '33672', '38166', '24532', '35352', '33261', '22712', '36683', '36586', '35701', '33636', '5686', '24532', '33671', '33285', '33832', '51143', '36962', '26835', '33836', '17792', '23117', '36587', '36963', '33595', '33285', '5686', '33832', '33635', '50860', '72695', '33302', '33304', '33659', '33598', '37578', '24471', '36962', '25806', '25367', '50860', '33595', '72695', '33582', '33675', '33655', '33832', '33597', '24471', '37577', '33285', '33304', '36357', '33582', '25367', '50860', '33675', '33579', '33595', '72695', '23367', '33675', '36357', '33582', '33579', '25367', '50860', '24431', '33579', '23367', '33675', '36357', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
37943	25	30	colistin	1154.428	-2.21	['25903', '59062', '16670', '24533', '46895', '37622', '50047', '23449', '16670', '18059', '36963', '35352', '33256', '50860', '16670', '37622', '50047', '36962', '25806', '33285', '51143', '32988', '33582', '37622', '50047', '36963', '35352', '33256', '50860', '33285', '33304', '50860', '33302', '51143', '33675', '36963', '35352', '33256', '36962', '25806', '32988', '33582', '50860', '33675', '33582', '33302', '33579', '36962', '25806', '33285', '51143', '32988', '33304', '33582', '33579', '33675', '23367', '33285', '33304', '50860', '33302', '51143', '33675', '23367', '33579', '24431', '50860', '33582', '33302', '33579', '24431', '23367', '33582', '33675', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
37990	23	21	Cy3-bifunctional dye zwitterion	911.00766	0.884	['37987', '35285', '37960', '24828', '35281', '26469', '35352', '22728', '27369', '33285', '51143', '27171', '38101', '38180', '51151', '50860', '33302', '33672', '38166', '24532', '35352', '33833', '72695', '33582', '33675', '33636', '5686', '24532', '33671', '33285', '33832', '51143', '33659', '50860', '25367', '33675', '33579', '33595', '33285', '5686', '33832', '33635', '50860', '72695', '33302', '33655', '33582', '36357', '33579', '23367', '25367', '50860', '33595', '72695', '33582', '33675', '23367', '24431', '36357', '33582', '25367', '50860', '33675', '33579', '24431', '23367', '33675', '36357', '33582', '33579', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
37998	2	4	glycolithocholic acid	433.62390	4.09	['36255', '16180', '36249', '24373', '140325', '51569', '36078', '83811', '37622', '33575', '83821', '35341', '83821', '36963', '35352', '33256', '36586', '35605', '64709', '51958', '18059', '35352', '36962', '25806', '33285', '51143', '32988', '36587', '36963', '24833', '50860', '33832', '33635', '50860', '33285', '51143', '33304', '33302', '72695', '36962', '25806', '24651', '33582', '72695', '33595', '33582', '50860', '33302', '33675', '25367', '33285', '33304', '25806', '33608', '37577', '50860', '25367', '33675', '33582', '33579', '36357', '33304', '33674', '33582', '36357', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
38085	1	2	2-benzofuran-1(3H)-one	134.13200	1.05	['37581', '38831', '25000', '35259', '33308', '38104', '35701', '38166', '36586', '35701', '24532', '36963', '33671', '36587', '36963', '33285', '5686', '33832', '36962', '25806', '33635', '72695', '36962', '25806', '50860', '33595', '33285', '33304', '50860', '25367', '33285', '33304', '33582', '33675', '33582', '36357', '50860', '33675', '33579', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
38135	2	4	naphthalene-2,3-diol	160.16932	2.18	['38133', '23783', '24727', '25477', '33853', '36785', '33836', '33659', '33822', '35294', '33636', '33659', '33598', '33655', '33832', '24651', '50860', '33598', '35295', '33595', '33655', '33832', '33597', '72695', '25806', '33608', '37577', '33582', '33597', '33832', '33635', '25367', '33595', '72695', '50860', '33304', '33674', '36357', '33675', '33595', '72695', '36357', '25367', '50860', '33582', '33675', '33579', '23367', '25367', '50860', '23367', '36357', '33582', '33675', '33579', '24431', '36357', '33582', '24431', '23367', '33675', '33579', '23367', '33675', '24431', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
38167	2	3	physcion	284.264	2.73	['37484', '37485', '33853', '22580', '33659', '33822', '46955', '51285', '33655', '33832', '24651', '50860', '38032', '51269', '36141', '33595', '72695', '25806', '33608', '37577', '33582', '35294', '51959', '33836', '3992', '25367', '50860', '33304', '33674', '36357', '33675', '33598', '35295', '51958', '33659', '17087', '36357', '33582', '33675', '33579', '23367', '33597', '33832', '33635', '33655', '36586', '23367', '33675', '33579', '24431', '33595', '72695', '36587', '36963', '24431', '33579', '23367', '25367', '50860', '72695', '36962', '25806', '23367', '24431', '36357', '33582', '50860', '25367', '33285', '33304', '24431', '23367', '33675', '33582', '36357', '50860', '24431', '33579', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
38184	4	7	picolinate	122.10150	0.861	['38181', '35757', '29067', '25696', '35406', '25699', '22563', '25741', '33273', '50860', '24870', '25806', '37577', '22563', '36358', '33582', '23367', '33304', '36357', '24870', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
38190	1	2	5-fluorocytidine	261.20720	-1.4	['37143', '23524', '17792', '24062', '39446', '33285', '37578', '24471', '26440', '18254', '50860', '24471', '37577', '33675', '33838', '39447', '47019', '33582', '33675', '36357', '33579', '21731', '26912', '61120', '38313', '47017', '33675', '33579', '23367', '35352', '63161', '63299', '38104', '25693', '51143', '33833', '38101', '26912', '33579', '23367', '24431', '33285', '51143', '63299', '78616', '24532', '36963', '33670', '33302', '33659', '35352', '38104', '25693', '23367', '24431', '50860', '33302', '78616', '36963', '33285', '5686', '33832', '36962', '25806', '33661', '33675', '33655', '51143', '24532', '33670', '24431', '33582', '33675', '36963', '36962', '25806', '50860', '33595', '72695', '33285', '33304', '33579', '33302', '5686', '33832', '33661', '33675', '33579', '36962', '25806', '33285', '33304', '33582', '25367', '50860', '23367', '33595', '72695', '33579', '23367', '33285', '33304', '50860', '33675', '36357', '33582', '24431', '25367', '23367', '24431', '50860', '33675', '33582', '33579', '36357', '24431', '33582', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
38213	1	2	methapyrilene hydrochloride	297.84752	2.88	['36807', '36094', '23114', '51069', '33958', '23117', '24868', '24866', '37578', '24471', '37577', '24471', '33675', '36357', '33675', '33579', '23367', '33579', '24431', '23367', '24431']
38214	3	6	monuron	198.64900	1.92	['83403', '134043', '23132', '47857', '22712', '22712', '36683', '33256', '33836', '33836', '17792', '23117', '32988', '33659', '33598', '33659', '33598', '33285', '37578', '24471', '51143', '33655', '33832', '33597', '33655', '33832', '33597', '50860', '24471', '37577', '33675', '33302', '33595', '72695', '33595', '72695', '33582', '33675', '36357', '33579', '25367', '50860', '25367', '50860', '33675', '33579', '23367', '36357', '33582', '36357', '33582', '33579', '23367', '24431', '33675', '23367', '33675', '24431', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
38217	4	5	3,3'-(biphenyl-4,4'-diyldidiazene-2,1-diyl)bis(4-aminonaphthalene-1-sulfonic acid)	652.70180	1.28	['36336', '25477', '33555', '36785', '33836', '33551', '35294', '33636', '33659', '33598', '33552', '33261', '64709', '33598', '35295', '33595', '33655', '33832', '33597', '33424', '36962', '26835', '50860', '33597', '33832', '33635', '25367', '33595', '72695', '33241', '26835', '33285', '33304', '33582', '33595', '72695', '36357', '25367', '50860', '37577', '33304', '33675', '25367', '50860', '23367', '36357', '33582', '33675', '33579', '36357', '33582', '24431', '23367', '33675', '33579', '23367', '33675', '24431', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
38290	108	112	L-ascorbate	175.11618	-1.79	['22651', '24961', '33721', '29067', '25696', '35406', '25699', '22563', '25741', '33273', '50860', '24870', '25806', '37577', '22563', '36358', '33582', '23367', '33304', '36357', '24870', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
38321	17	25	mesotrione	339.32156	2.19	['35850', '35716', '76224', '140323', '33261', '35715', '72695', '17087', '140322', '36962', '26835', '51143', '50860', '25367', '36586', '17087', '33285', '33304', '33302', '33582', '36357', '36587', '36963', '36586', '50860', '33675', '23367', '72695', '36962', '25806', '36587', '36963', '33582', '33579', '24431', '50860', '25367', '33285', '33304', '72695', '36962', '25806', '33675', '23367', '33582', '36357', '50860', '25367', '33285', '33304', '33579', '24431', '33675', '23367', '33582', '36357', '50860', '23367', '33579', '24431', '33675', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
38371	6	11	2-dodecenoic acid	198.30188	4.68	['23867', '79020', '25413', '59202', '59554', '25384', '27208', '35366', '33575', '35366', '25384', '18059', '36586', '35605', '64709', '25384', '18059', '33575', '50860', '36587', '36963', '24833', '33575', '50860', '36586', '35605', '64709', '33582', '72695', '36962', '25806', '24651', '36586', '35605', '64709', '33582', '36587', '36963', '24833', '50860', '33675', '25367', '33285', '33304', '25806', '33608', '37577', '36587', '36963', '24833', '50860', '33675', '72695', '36962', '25806', '24651', '33582', '33579', '36357', '33304', '33674', '72695', '36962', '25806', '24651', '33582', '33579', '50860', '25367', '33285', '33304', '33608', '37577', '33675', '23367', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '33582', '36357', '33674', '33579', '24431', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '24431', '23367', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
38397	1	2	perfluorononanoic acid	464.07590	5.73	['35551', '25384', '134091', '33575', '37143', '36586', '35605', '64709', '17792', '24062', '36587', '36963', '24833', '50860', '33285', '37578', '24471', '72695', '36962', '25806', '24651', '33582', '50860', '24471', '37577', '33675', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '36357', '33579', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
38472	1895	1419	acetonitrile	41.05196	-0.169	['80291', '134179', '18379', '72695', '23424', '50860', '25367', '35352', '33582', '36357', '33285', '51143', '33675', '23367', '50860', '33302', '33579', '24431', '33582', '33675', '23367', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
38508	1	2	methiocarb	225.30834	2.78	['23003', '35683', '33308', '16385', '36586', '35701', '33261', '26822', '36587', '36963', '36962', '26835', '72695', '36962', '25806', '33285', '33304', '50860', '25367', '33285', '33304', '33675', '33582', '36357', '50860', '33675', '33579', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
38561	1	1	fluvastatin	411.467	3.83	['60911', '87635', '60004', '87631', '59999', '36963', '24431', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
38571	1	3	XMC	179.21576	2.33	['23003', '33308', '36586', '35701', '36587', '36963', '72695', '36962', '25806', '50860', '25367', '33285', '33304', '33582', '36357', '50860', '33675', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
38635	1	1	3-methyladenine	149.15348	-1.17	['25272', '20706', '22527', '26401', '35875', '27171', '38101', '33833', '33672', '38166', '24532', '35352', '33659', '33636', '5686', '24532', '33671', '33285', '33832', '51143', '33655', '33595', '33285', '5686', '33832', '33635', '50860', '72695', '33302', '25367', '50860', '33595', '72695', '33582', '33675', '36357', '33582', '25367', '50860', '33675', '33579', '23367', '33675', '36357', '33582', '33579', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
38685	5	6	1,2-epoxypropane	58.07914	0.308	['32955', '37407', '25698', '38104', '36963', '24532', '36962', '25806', '33285', '5686', '33832', '33285', '33304', '50860', '33595', '72695', '50860', '33675', '33582', '25367', '33582', '33579', '33675', '36357', '33675', '23367', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
38691	15	21	flavan	210.27106	4.22	['38672', '47916', '38443', '26004', '72544', '22727', '33659', '50860', '25806', '38104', '38166', '33655', '33832', '33582', '33304', '24532', '36963', '33671', '33595', '72695', '33675', '33285', '5686', '33832', '36962', '25806', '33635', '25367', '50860', '33579', '50860', '33595', '72695', '33285', '33304', '36357', '33582', '23367', '33582', '25367', '50860', '33675', '24431', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
38699	2	4	sodium fluoroacetate	100.02425	-0.242	['38700', '26714', '24868', '26712', '35479', '24866', '33296', '24866', '37577', '33674', '37577', '36357', '33579', '36357', '23367', '23367', '24431', '24431']
38701	2	3	delphinidin chloride	338.69700	1.38	['38696', '38695', '36094', '47916', '23114', '51069', '72544', '33958', '23117', '24868', '50860', '25806', '24866', '37578', '24471', '33582', '33304', '37577', '24471', '33675', '33675', '36357', '33579', '33579', '23367', '23367', '24431', '24431']
38826	2	3	perfluorooctane	438.05690	5.76	['38824', '24067', '37143', '24469', '17792', '24062', '33285', '37578', '24471', '50860', '24471', '37577', '33675', '33582', '33675', '36357', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
38848	2	4	perfluorodecalin	462.07826	6.6	['38824', '37143', '17792', '24062', '33285', '37578', '24471', '50860', '24471', '37577', '33675', '33582', '33675', '36357', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
38892	1	2	disodium tetraborate	237.24990	0.375	['38702', '46662', '24839', '26714', '59999', '24835', '24866', '26712', '35479', '24431', '23367', '37577', '33296', '24866', '24431', '36357', '33674', '37577', '23367', '33579', '36357', '24431', '23367', '24431']
38905	25	44	tributylamine	185.34952	4.36	['32876', '50996', '32952', '50047', '35352', '50860', '33285', '51143', '33582', '50860', '33302', '33675', '33582', '33675', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
38911	1	2	tripotassium borate	176.10410	0.624	['38908', '22910', '22916', '33581', '33675', '33579', '23367', '24431']
